tick,territory_id,owner_id,unrest,fragmentation_risk
1,nicaragua,nation_costa_rica,0.279439,0.207664
1,costa_rica,nation_costa_rica,0.723786,0.474271
2,nicaragua,nation_costa_rica,0.260895,0.236537
2,costa_rica,nation_costa_rica,0.655173,0.473104
3,nicaragua,nation_costa_rica,0.244165,0.266499
3,costa_rica,nation_costa_rica,0.593399,0.476040
4,nicaragua,nation_costa_rica,0.229065,0.297439
4,costa_rica,nation_costa_rica,0.537781,0.482669
5,nicaragua,nation_costa_rica,0.215430,0.329258
5,costa_rica,nation_costa_rica,0.487702,0.492621
6,nicaragua,nation_costa_rica,0.203114,0.361869
6,costa_rica,nation_costa_rica,0.442608,0.505565
7,nicaragua,nation_costa_rica,0.191984,0.395190
7,costa_rica,nation_costa_rica,0.401998,0.521199
8,nicaragua,nation_costa_rica,0.181919,0.429151
8,costa_rica,nation_costa_rica,0.365426,0.539255
9,nicaragua,nation_costa_rica,0.172814,0.463688
9,costa_rica,nation_costa_rica,0.332486,0.559491
10,nicaragua,nation_costa_rica,0.164571,0.498743
10,costa_rica,nation_costa_rica,0.302815,0.581689
11,nicaragua,nation_costa_rica,0.157105,0.534263
12,nicaragua,nation_costa_rica,0.147395,0.568437
