tick,nation_id,trust,inactivity_tier,wealth_stock,debt_balance
0,nation_costa_rica,50.000,active,20.00,0.00
0,nation_guatemala,50.000,active,20.00,0.00
0,nation_honduras,50.000,active,0.00,0.00
0,nation_nicaragua,50.000,active,0.00,0.00
0,nation_panama,50.000,active,0.00,0.00
1,nation_costa_rica,50.000,active,24.50,0.00
1,nation_guatemala,50.000,active,12.50,0.00
1,nation_honduras,50.000,active,0.50,0.00
1,nation_nicaragua,50.000,active,0.50,0.00
1,nation_panama,50.000,active,5.50,0.00
2,nation_costa_rica,50.000,active,34.00,0.00
2,nation_guatemala,50.000,active,10.00,0.00
2,nation_honduras,50.000,active,1.00,0.00
2,nation_nicaragua,50.000,active,1.00,0.00
2,nation_panama,50.000,active,11.00,0.00
3,nation_costa_rica,50.000,active,43.50,0.00
3,nation_guatemala,50.000,active,7.50,0.00
3,nation_honduras,50.000,active,1.50,0.00
3,nation_nicaragua,50.000,active,1.50,0.00
3,nation_panama,50.000,active,16.50,0.00
4,nation_costa_rica,50.000,active,53.00,0.00
4,nation_guatemala,50.000,active,5.00,0.00
4,nation_honduras,50.000,active,2.00,0.00
4,nation_nicaragua,50.000,active,2.00,0.00
4,nation_panama,50.000,active,22.00,0.00
5,nation_costa_rica,50.000,active,62.50,0.00
5,nation_guatemala,50.000,active,2.50,0.00
5,nation_honduras,50.000,active,2.50,0.00
5,nation_nicaragua,50.000,active,2.50,0.00
5,nation_panama,50.000,active,27.50,0.00
6,nation_costa_rica,50.000,active,67.00,0.00
6,nation_guatemala,50.000,active,5.00,0.00
6,nation_honduras,50.000,active,3.00,0.00
6,nation_nicaragua,50.000,active,3.00,0.00
6,nation_panama,50.000,active,33.00,0.00
7,nation_costa_rica,50.000,active,76.50,0.00
7,nation_guatemala,50.000,active,2.50,0.00
7,nation_honduras,50.000,active,3.50,0.00
7,nation_nicaragua,50.000,active,3.50,0.00
7,nation_panama,50.000,active,38.50,0.00
8,nation_costa_rica,50.000,active,81.00,0.00
8,nation_guatemala,50.000,active,5.00,0.00
8,nation_honduras,50.000,active,4.00,0.00
8,nation_nicaragua,50.000,active,4.00,0.00
8,nation_panama,50.000,active,44.00,0.00
9,nation_costa_rica,50.000,active,90.50,0.00
9,nation_guatemala,50.000,active,2.50,0.00
9,nation_honduras,50.000,active,4.50,0.00
9,nation_nicaragua,50.000,active,4.50,0.00
9,nation_panama,50.000,active,49.50,0.00
10,nation_costa_rica,54.500,active,95.00,0.00
10,nation_guatemala,54.500,active,5.00,0.00
10,nation_honduras,50.000,active,5.00,0.00
10,nation_nicaragua,50.000,active,5.00,0.00
10,nation_panama,50.000,active,55.00,0.00
11,nation_costa_rica,54.000,active,99.50,0.00
11,nation_guatemala,54.000,active,7.50,0.00
11,nation_honduras,50.000,active,5.50,0.00
11,nation_nicaragua,50.000,active,5.50,0.00
11,nation_panama,50.000,active,60.50,0.00
12,nation_costa_rica,53.500,active,104.00,0.00
12,nation_guatemala,53.500,active,10.00,0.00
12,nation_honduras,50.000,active,6.00,0.00
12,nation_nicaragua,50.000,active,6.00,0.00
12,nation_panama,50.000,active,66.00,0.00
13,nation_costa_rica,53.000,active,108.50,0.00
13,nation_guatemala,53.000,active,12.50,0.00
13,nation_honduras,50.000,active,6.50,0.00
13,nation_nicaragua,50.000,active,6.50,0.00
13,nation_panama,50.000,active,71.50,0.00
14,nation_costa_rica,52.500,active,113.00,0.00
14,nation_guatemala,52.500,active,15.00,0.00
14,nation_honduras,50.000,active,7.00,0.00
14,nation_nicaragua,50.000,active,7.00,0.00
14,nation_panama,50.000,active,77.00,0.00
